ATSC8c,MATS1e,minsCH3,MATS4e,MATS4s,ATSC7i,SpMin4_Bhp,MLFER_S,ATSC4p,SpMax2_Bhm,Class
0.1053,-0.0226,0,-0.1538,-0.0969,-1.6116,1.9431,0,2.8374,4.1919,NoChanger
-0.0037,0.0504,0,0.162,0.1151,-24.844,1.892,4.56,-0.6029,4.0704,NoChanger
0.565,-0.1202,1.7339,0.1163,0.0546,-47.0843,1.9117,6.378,-5.14,4.1808,NoChanger
-0.0643,-0.1401,1.6986,0.0831,0.0213,-53.0209,1.9118,5.989,-5.7606,4.1809,NoChanger
0.026,-0.0104,0,-0.0318,0.0512,-7.4117,1.864,4.094,-2.4625,4.041,NoChanger
0.2186,-0.0267,0,0.2456,0.1204,-7.1093,1.6813,4.334,-1.7795,4.0642,NoChanger
0.1633,0.0199,0,0.2257,0.1761,-11.4423,1.6688,3.036,-3.9123,4.0055,NoChanger
0.0138,-0.0379,1.7769,0.0775,0.2019,0.3784,1.8639,3.618,-1.5151,3.9698,NoChanger
-0.0303,0.1108,2.0088,-0.0169,-0.0108,37.0933,1.8657,4.178,0.8565,4.0539,NoChanger
0.1944,-0.0059,0,-0.1257,-0.0837,-2.7149,1.8559,4.016,-3.1827,3.9474,NoChanger
-0.0371,-0.0089,0,0.0888,0.167,-16.9417,1.7798,3.25,0.1687,3.8796,NoChanger
0.0006,0.1253,0,-0.1022,-0.0303,38.5859,1.864,3.776,-4.3087,4.0806,NoChanger
-0.1829,-0.0405,0,-0.06,-0.0142,28.5984,1.9337,3.885,-2.1356,3.9519,NoChanger
-0.8375,-0.1714,1.7549,0.1901,0.2002,-57.0792,1.7039,3.721,1.4909,3.9382,NoChanger
-0.0561,0.1697,2.0538,-0.0517,0.0537,50.0238,1.91,3.456,-0.7765,3.9784,NoChanger
-0.2866,-0.0508,0,0.1604,0.0196,-51.3956,1.7834,5.707,-1.4574,4.1092,NoChanger
0.1732,-0.0406,2.0124,0.0729,0.0526,-11.3054,1.9278,3.839,-2.9643,3.9417,NoChanger
-0.2955,-0.0261,1.4403,0.0604,0.0697,23.4391,1.8793,3.319,5.9687,3.9993,NoChanger
0.3249,-0.038,0,0.0114,0.0406,-15.4708,1.6951,4.322,-2.9961,4.0794,NoChanger
-0.0099,0.2105,0,-0.129,-0.0449,6.5674,1.9042,3.73,-0.1537,3.9575,NoChanger
-0.0377,-0.0615,0,0.021,-0.0563,-24.0911,1.7987,6.161,-5.1708,4.0165,NoChanger
0.2691,-0.0264,2.0405,-0.0205,-0.0348,-26.8461,1.6808,4.286,-2.1173,3.8799,NoChanger
-0.0441,0.0815,0,0.0859,0.0307,-22.8093,1.8801,3.929,-8.8226,4.0895,NoChanger
-0.0481,0.037,1.6571,-0.1097,-0.0318,5.4155,1.9073,4.172,-2.4951,3.9554,NoChanger
-0.0632,0.0142,1.906,0.1995,0.1025,32.5928,1.946,4.779,-4.5474,4.1187,NoChanger
-0.3332,-0.0189,2.1165,-0.0275,-0.08,5.7882,1.8877,4.794,-2.6708,3.8907,NoChanger
-0.1835,-0.0263,0,-0.0486,-0.0393,0.9907,1.8551,4.522,-3.1126,3.8953,NoChanger
0.0301,0.0104,2.0011,0.1208,-0.0039,9.9147,1.7991,4.037,-4.6285,4.0842,NoChanger
-0.009,-0.0237,0,-0.0602,0.077,-6.1731,1.6616,3.723,-1.7425,3.9522,NoChanger
0.008,-0.0346,0,-0.1305,-0.0978,0.6802,1.8121,5.907,-4.7001,4.0191,NoChanger
0.2589,-0.0388,1.9684,-0.0227,-0.0112,-7.8304,1.8466,3.981,-4.4918,3.8815,NoChanger
-0.0996,-0.0138,0,0.0188,0.1118,6.7924,1.6356,3.221,-2.2824,4.0151,NoChanger
-0.3377,0.0827,0,0.016,-0.0717,25.6013,1.8907,4.452,-0.4554,3.8409,NoChanger
-0.2292,0.0588,2.03,-0.0685,-0.1286,36.4396,1.8624,4.097,-0.5811,4.0034,NoChanger
0.0498,0.1897,0,0.0407,0.1756,-20.2127,1.974,2.349,6.9529,4.0874,NoChanger
0.0582,0.1942,0,-0.0773,-0.0416,-41.2936,1.8592,4.137,1.7108,4.0859,NoChanger
0.1289,0.0471,0,-0.1247,-0.136,-0.6088,1.8848,4.736,-4.001,3.8907,NoChanger
-0.1693,0.1071,1.9866,-0.2181,-0.1622,31.2914,1.7778,3.683,-6.2384,4.2343,NoChanger
0.0662,0.2563,0,0.0049,-0.0737,25.3911,1.8002,3.237,-2.6736,4.1262,NoChanger
0.2304,-0.0376,0,-0.0845,-0.1523,6.6296,1.9046,4.551,-4.8083,3.9896,NoChanger
-0.0671,0.0323,2.0039,-0.1207,-0.1094,21.8073,1.804,4.298,-4.3664,3.8683,NoChanger
-0.3102,0.1719,1.9854,-0.1093,-0.1459,39.3442,1.9078,4.247,-4.2252,4.1398,NoChanger
-0.1423,0.0545,0,0.005,0.1807,17.3068,1.91,3.314,-0.4594,3.9776,NoChanger
-0.2543,-0.0175,0,0.0053,0.0463,25.0578,1.7834,3.804,-4.142,3.9955,NoChanger
-0.4832,0.1312,1.9138,-0.1072,-0.0784,-1.2662,1.8946,4.102,-2.4668,3.8864,NoChanger
-0.0384,-0.036,0,-0.0889,-0.1276,5.8208,1.9052,3.926,-4.5767,4.0107,NoChanger
-0.0586,0.2008,1.926,0.1653,0.1028,4.6999,1.7797,4.559,-2.8112,4.0949,NoChanger
-0.1551,0.0828,0,-0.3591,-0.2362,33.9233,1.9644,4.561,3.8323,3.9846,NoChanger
-0.0236,-0.047,0,-0.0451,0.0731,8.7063,1.7834,5.012,-1.7686,3.9674,NoChanger
-0.1642,0.198,0,-0.0699,0.0747,9.6653,1.8873,4.204,0.9511,4.0488,NoChanger
-0.0452,0.164,1.6316,-0.1473,-0.0555,-0.2711,1.9226,3.891,-2.0237,3.958,NoChanger
-0.1683,0.1071,1.975,-0.2135,-0.165,23.8492,1.8078,3.683,-6.947,4.2395,NoChanger
-0.2713,0.0955,2.0924,0.0869,0.0257,7.8689,1.9093,4.272,-1.7071,3.8956,NoChanger
0.0941,0.0786,2.0219,0.185,0.1227,8.8917,1.8241,3.197,-1.3585,3.9307,NoChanger
0.2005,-0.0406,0,-0.0031,0.1097,4.538,1.8343,3.652,-2.6557,3.9035,NoChanger
0.0237,-0.0382,1.8333,-0.0094,0.0316,-13.8398,1.8848,3.671,-6.8257,3.8837,NoChanger
-0.081,-0.0482,1.6729,-0.1192,-0.0475,-3.5571,1.7482,2.544,-5.4714,3.9242,NoChanger
-0.1321,0.0194,2.0517,0.1508,0.0648,25.2975,1.9475,4.779,-2.6084,4.1189,NoChanger
-0.058,0.1237,2.0941,0.0014,0.0878,-51.7967,1.8022,3.306,-7.179,4.0157,NoChanger
-0.2409,-0.042,0,-0.1665,0.0115,-9.7495,1.8845,5.205,0.4214,3.9327,NoChanger
-0.0116,0.0569,1.2819,-0.0802,-0.155,12.812,1.595,2.118,-0.8737,3.8642,NoChanger
-0.0081,0.2553,0,-0.175,-0.0776,7.6716,1.9479,3.92,-0.141,3.9629,Changer
0.2246,-0.0346,0,-0.1289,-0.1039,0.8204,1.8107,5.907,-3.6937,4.0189,Changer
0.1691,0.1335,0,-0.1349,-0.0184,-9.5895,1.8343,3.41,-0.501,4.0172,Changer
0.0321,0.1893,0,-0.0365,0.0026,10.0035,1.8376,3.102,-1.4404,3.9777,Changer
-0.0962,-0.018,2.021,0.0023,0.0197,9.2193,1.95,5.588,-1.1777,4.1192,Changer
0.0055,-0.0055,0,-0.0501,-0.0167,8.5306,1.6232,3.753,-1.1161,4.08,Changer
0.2512,-0.0544,0,-0.1277,0.0005,-31.2441,1.8503,3.446,0.422,3.993,Changer
-0.1539,0.0731,0,-0.166,-0.064,8.0617,1.7428,3.622,-0.824,4.0744,Changer
-0.387,-0.0501,0,-0.0219,0.0924,-38.0552,1.6808,4.524,-3.5644,4.0425,Changer
-0.5318,-0.0023,0,-0.0469,0.0426,18.697,1.7654,3.346,-2.8574,3.9733,Changer
-0.0112,0.1742,1.9816,-0.0429,-0.056,0.6837,1.8497,3.683,-2.9955,3.8748,Changer
-0.0235,-0.0019,1.9484,-0.1416,-0.1325,9.3731,1.7535,3.445,-3.9462,3.8972,Changer
