"minHBint8","MATS3e","MATS3c","MATS3m","minHBint6","minHBint7","minHBint4","SpMax8_Bhp","MDEC.11","VR2_Dt","BIC5","minHBint3","maxdssC","nT6Ring","minssCH2","khs.aaN","SpMax3_Bhp","SpMin6_Bhi","SpMax3_Bhm","AATSC2m","MDEC.23","MDEC.22","MDEC.24","MATS2e","MATS2c","topoDiameter","ATSC8i","SaasC","minaaCH","SpMax2_Bhp","AATS8p","VE3_Dt","XLogP","SpMax4_Bhp","SpMax4_Bhm","minaaN","JGI10","MATS1i","VR2_Dze","SdO","SdssC","AATS7e","ETA_Epsilon_5","SsssCH","maxHsOH","GATS1s","GATS1e","GATS1c","GATS1m","MATS6c","ETA_BetaP_s","minssNH","nX","nS","AATS6i","nBase","minHBint10","GATS6i","MATS7m","GATS6s","SpMin8_Bhi","ATSC3s","ATSC3p","minHCsats","SdsCH","minssO","SpMin3_Bhi","nT10HeteroRing","AATS5i","BCUTp.1l","BCUTp.1h","BCUTw.1l","GATS3c","GATS3e","GATS3i","MLFER_BH","maxaasC","MATS6v","hmax","khs.aaaC","ETA_AlphaP","ATSC2s","ATSC2i","khs.aasC","nG","naaaC","GATS2s","GATS2m","GATS2e","ATSC1v","ATSC1e","MATS5c","SpMin2_Bhv","BCUTc.1l","BCUTc.1h","naaS","SpMax6_Bhm","AATSC8c","SpMAD_Dzs","GATS5s","MLFER_A","GATS5m","MATS4c","MATS4e","MATS4m","MATS4s","minaaaC","minwHBa","ATSC0p","ATSC0i","VE2_D","nHBint3","nHBint6","nHBint7","nHBint9","MDEN.33","FMF","minssssC","SRW5","nF9Ring","GATS4s","GATS4c","ATSC7s","ATSC7i","VC.4","VC.5","JGI2","JGI3","JGI6","JGI7","JGI4","JGI5","JGI8","JGI9","LipinskiFailures","C2SP3","GATS2p","ETA_Shape_P","MDEN.22","GATS7m","SsOH","khs.dsN","SHBint10","CrippenLogP","MPC10","SpMin1_Bhm","AATS0m","nAtomLAC","ATSC5v","MLFER_S","nsOm","naasN","nsssN","naasC","nHBAcc3","AMR","GATS6c","MATS5s","C1SP2","C1SP3","maxHBint2","maxHBint4","maxHBint5","maxHBint6","ATSC5m","ATSC5i","MATS8m","Kier3","MDEN.23","nHeteroRing","mindssC","AATSC6e","AATSC7c","MATS8e","ATS0m","GGI9","GGI8","GGI3","GGI2","ATSC4i","ATSC4p","SpMax1_Bhs","SpMax1_Bhp","hmin","C3SP2","VR1_Dzs","naaCH","minHBa","ALogp2","nssS","SaaO","SpMax2_Bhs","GATS8c","SpMax2_Bhm","GATS8p","GATS8s","n6HeteroRing","minHBint9","VE2_DzZ","mindO","TopoPSA","MDEO.11","SpMax5_Bhm","C3SP3","VE3_Dzp","nTG12HeteroRing","GATS5c","nF12HeteroRing","topoShape","VE1_Dt","maxHaaCH","nHBAcc","nsCl","WTPT.2","WTPT.3","MDEO.22","Class"
0,-0.0436,0.0409,0.1368,0,0,0,3.2044,0,22.238,0.8435,0,0,0,0,0,3.9582,1.5761,4.0396,0.6986,60.1757,13.988,0,0.1073,0.0481,17,-13.8718,0,0,4.1095,1.7139,-167.1241,-0.094,3.8195,3.8311,0,0.0063,-0.0816,25.3702,0,0,7.9321,0.8015,0,0,0.4793,0.5505,1.2841,0.5007,-0.0902,0.6957,0,0,0,146.8943,-1,0,1.0554,0.0473,1.3061,1.272,2.4444,0.5603,0,0,0,1.854,0,145.1083,6.0583,12.9486,11.85,0.9107,0.8248,0.9982,0,0,-0.1505,0,0,0.4768,-3.1111,2.3875,0,0,0,0.5235,0.575,0.5026,70.0473,-0.1138,-0.0829,2.1124,-0.2886,0.2461,0,3.5302,8e-04,9.5199,1.2088,0,0.943,0.0139,-0.1538,-0.0798,-0.0969,0,0,11.8713,90.749,0,0,0,0,0,0.0909,0,0,3.0445,0,1.1874,1.1078,52.4444,-1.6116,0,0.45,0.0615,0.0427,0.0206,0.0144,0.0498,0.0235,0.0121,0.0092,0,0,0.7623,0.0608,0.0909,1.0249,0,0,0,0,2576,2.2945,121.7486,0,-594.7517,0,0,0,0,0,6,0,1.2051,-0.1032,4,0,0,0,0,0,-470.403,-13.7157,0.1103,3.4208,0.8528,0,0,0.0037,0.0016,0.0058,7304.9177,0.595,0.9458,4.9583,5.7778,36.8197,2.8374,4.7297,4.2811,0,14,1995.8719,0,0,0,0,0,4.6961,0.9193,4.1919,1.0536,1.0575,0,0,8e-04,0,0,0.8369,3.6046,0,-13.2579,0,1.1829,0,0.8889,0,0,8,0,0,0,0,"NoChanger"
0,0.1231,-0.0316,0.1318,0,0,0,3.1376,0,16.7009,0.8024,0,0.1123,6,0,4,3.7951,1.3926,3.85,0.4463,44.5031,0,0,0.433,0.131,19,-9.3563,4.7819,1.8618,4.0333,1.4271,-16.208,5.085,3.787,3.7767,4.1584,0.0048,-0.0109,13.3143,13.0824,-0.6406,8.0105,0.8093,0,0,0.6318,0.6975,1.59,0.5968,-0.0442,0.6628,0,0,0,154.1114,0,0,1.1579,-0.1132,1.126,1.1139,13.7984,-1.2426,0,0,5.647,1.8174,2,155.1164,4.7199,11.2148,11.85,0.9832,0.7149,1.0612,1.862,0.95,-0.0523,0.9201,10,0.4744,12.3471,-9.4564,2,0,4,0.5552,0.729,0.4682,5.5625,0.2277,0.1269,2.1317,-0.2577,0.3746,0,3.5592,0,10.5378,0.8913,0.003,0.8406,-0.0861,0.162,0.062,0.1151,0.7453,-0.7529,13.5351,104.621,4e-04,0,0,0,0,0,0.6667,0,3.0445,0,0.7775,1.2239,-9.524,-24.844,0,0.1658,0.0648,0.0326,0.0116,0.0092,0.0339,0.0228,0.0088,0.0059,1,0,0.9646,0.0163,1.9366,1.0869,0,1,0,8.9712,486,2.1366,109.0537,0,255.2899,4.56,0,0,1,8,8,177.5911,1.2787,0.0944,2,0,0,0,0,0,399.0852,3.3692,-0.1045,6.3342,1.6546,4,-0.7529,-0.0093,-3e-04,-0.2101,6870.3817,0.3191,0.5639,2.4444,4.6667,-14.6478,-0.6029,4.5763,4.0643,-0.1413,6,542.6569,20,0.9769,21.4212,0,6.0434,4.175,1.4323,4.0704,1.0101,1.7013,2,0,0.001,13.0824,106.6,0,3.7457,0,-14.5082,0,1.0809,0,0.9,0.0231,0.6583,8,0,2.1204,28.2185,0.25,"NoChanger"
0,-0.1138,-0.1791,0.0615,0,0,0,3.0507,0.0833,90918.7748,0.7914,0,0,5,0,3,3.7474,1.2321,3.8274,4.534,37.5488,14.2961,0,0.1973,0.1258,20,12.483,2.8872,1.679,4.0711,1.3683,-159.1796,2.461,3.6788,3.6912,4.4838,0.0054,-0.1814,70.553,0,0,7.7646,0.7942,0,0.3244,0.7371,0.9332,1.4221,0.6552,0.3483,0.6818,0,0,0,155.699,0,0,0.9846,-0.2346,0.9217,1.0886,-3.1644,-2.2822,0,2.9222,0,1.8149,0,161.4754,4.8103,10.9291,11.9961,1.1547,1.0579,1.2516,4.475,0.5346,-0.1533,0.73,6,0.472,3.5956,1.0587,10,0,6,0.496,0.6206,0.5815,48.8462,-0.5051,-0.3307,2.0681,-0.373,0.1655,0,3.3169,0.0038,10.947,1.623,1.089,1.2202,0.2637,0.1163,-0.1045,0.0546,0.3706,-0.0928,13.5617,115.6803,0,0,0,0,0,0.0833,0.5538,0,3.0445,4,0.9943,0.9232,-46.04,-47.0843,0,0.3041,0.0751,0.0569,0.015,0.0141,0.0472,0.0308,0.0099,0.0062,0,0,0.8572,0.1188,1.6708,1.2158,22.4517,2,0,6.9524,379,2.0151,108.6116,0,303.8539,6.378,0,0,0,10,9,174.3155,0.7725,-0.2682,8,2,0,0,0,0,-1006.6575,38.7175,0.1423,5.9772,1.7944,5,0,0.0119,-0.0048,0.1976,7059.7538,0.3094,0.5437,4.8333,5.5556,1.737,-5.14,4.4709,4.0722,0.0383,6,1536.5256,11,11.2259,4.2506,0,0,4.4708,0.6767,4.1808,1.0067,0.7828,3,0,0,0,160.25,0.0833,3.6591,0,-23.193,2,1.6146,0,1,0,0.6378,9,0,2.085,33.1064,0,"NoChanger"
0,-0.0747,-0.1151,0.0361,0,3.3261,0,3.0507,0.0833,44.9734,0.7845,0,0,5,0,2,3.813,1.2333,3.8598,4.4147,40.5929,14.3603,0,0.1195,0.0471,20,5.009,2.4151,1.4299,4.0711,1.3429,-21.4416,3.079,3.6788,3.6914,4.5294,0.0065,-0.1264,35.7022,0,0,7.7774,0.7896,0,0.4137,0.7969,0.9619,1.3532,0.6776,0.171,0.6722,0,0,0,153.95,0,0,1.0006,-0.2287,0.9017,1.0886,-1.5351,-2.8318,0,2.8357,0,1.8353,0,161.1077,4.8139,10.9682,11.9961,1.0708,1.0056,1.2411,4.416,0.5141,-0.1309,0.7287,6,0.4711,1.4042,-8.9976,11,0,6,0.5149,0.6155,0.608,132.6003,-0.683,-0.2193,2.0681,-0.3731,0.1645,0,3.3206,-4e-04,11.2733,1.4253,1.632,1.1762,0.1995,0.0831,-0.1118,0.0213,0.338,-0.1442,14.2447,115.6081,3e-04,0,0,2,2,0.0833,0.5373,0,3.0445,4,0.9686,0.9347,-31.0971,-53.0209,0,0.3208,0.0819,0.0571,0.0161,0.0145,0.0484,0.0307,0.0119,0.0072,0,0,0.8698,0.1321,0.7663,1.1879,33.091,2,0,7.263,398,2.019,108.4299,0,603.4469,5.989,0,0,0,11,9,180.9307,0.8449,-0.2064,6,2,0,0,0,0,-815.0494,56.5588,0.1078,6.0785,1.4622,4,0,0.0037,-9e-04,0.0194,7264.8059,0.4153,0.7133,5.0208,6.2222,-1.7563,-5.7606,4.4784,4.0727,-0.0103,6,1093.4984,11,10.5875,3.1745,0,0,4.4783,0.9634,4.1809,0.982,1.0298,2,3.3261,3e-04,0,167.59,0.3293,3.6651,0,-21.8134,2,1.4148,0,1,0.0085,0.6773,8,0,2.0797,32.5232,0,"NoChanger"
0,-0.0046,-0.087,0.1063,0,0,0,3.1187,0,68191.6595,0.8459,0,0,6,0,0,3.9328,1.4197,3.9438,-0.1926,56.0611,0,0,0.1649,0.0983,20,-10.8132,1.9913,1.4223,4.0154,1.5458,-154.141,2.55,3.8447,3.8796,0,0.0065,-0.0593,68190.9014,67.5315,-2.4007,7.7911,0.8053,0,0,0.4974,0.524,1.3277,0.5871,0.0411,0.6421,0,0,0,150.9753,0,0,0.9186,-0.099,1.2703,1.2369,4.7391,-3.6195,0,0,0,1.9305,0,151.5652,5.6623,11.1198,11.85,1.0735,0.8429,1.1267,1.459,0.472,0,0.6735,4,0.4765,-3.2026,-7.1461,8,0,4,0.5613,0.7036,0.4576,91.197,-0.0565,-0.1679,2.0945,-0.288,0.2495,0,3.3525,2e-04,13.5791,1.42,0.003,1.0669,0.1157,-0.0318,-0.0659,0.0512,0.7599,-0.5172,14.35,92.3514,0,0,0,0,0,0.1,0.6094,0,3.0445,2,1.1168,1.0958,8.0226,-7.4117,0,0.2917,0.0808,0.0622,0.019,0.0128,0.0365,0.0273,0.0101,0.0085,0,0,0.8955,0.0795,0,1.1103,0,0,0,7.8478,522,2.1028,109.8488,0,57.3609,4.094,0,0,2,8,5,181.664,1.1493,-0.1583,4,0,0,0,0,0,-408.73,15.5445,-0.1306,5.3749,0,2,-0.5172,0.0049,0.0012,-0.1285,7030.3259,0.4225,0.5453,5.4722,6.2222,-12.6109,-2.4625,4.6694,4.025,-0.0189,10,15905.1935,20,1.1417,8.1499,0,0,4.6624,0.972,4.041,1.0818,1.0788,0,0,0,13.3728,91.83,1.3764,3.5406,0,-151.5105,0,1.4138,0,1,0,0.6625,7,0,2.1062,20.1009,0,"NoChanger"
5.6998,-0.0332,-0.1463,0.0414,0,0,2.6142,2.8691,0,12.2249,0.876,0,0.1693,5,0,2,3.7609,1.0598,3.866,0.4405,31.9506,13.9921,0,0.1963,0.0774,15,24.5404,0.5697,1.6439,4.0346,1.5151,-7.0184,4.929,3.5297,3.6378,4.0439,0.0055,0.098,20.2551,12.6134,0.1693,8.2444,0.8083,0,0.4519,0.7293,0.7642,1.4478,0.6122,0.0058,0.6452,0,0,0,156.1437,0,0,1.1729,-0.0756,1.2523,0.8737,-0.5973,-3.1446,0,1.7094,0,1.7582,1,157.0361,4.8938,10.658,11.85,1.0641,0.8696,1.1075,1.637,0.3964,0.0772,0.7973,7,0.472,9.0654,-5.4873,1,0,4,0.5326,0.688,0.5957,110.0908,-0.116,-0.0881,2.1124,-0.422,0.3482,0,3.1752,0.0033,7.5867,1.1122,0.546,0.9524,0.185,0.2456,-0.0252,0.1204,0.894,0.0189,10.0183,67.4767,0.0027,0,0,0,0,0,0.6444,0,2.3979,0,0.9267,0.9078,-14.3585,-7.1093,0,0,0.0755,0.0357,0.0157,0.0108,0.046,0.0278,0.01,0.0083,0,0,0.9519,0.0456,1,1.0405,10.4481,0,0,4.0987,306,2.2057,111.9354,0,220.2808,4.334,0,0,0,4,6,120.4284,1.3113,0.0226,3,0,0,2.6142,0,0,329.5432,-3.0152,-0.2709,4.072,0,2,0.1693,-0.0176,-0.001,-0.159,5037.092,0.2325,0.3288,2,4,-9.7891,-1.7795,4.7055,4.1415,-0.0807,7,383.3604,12,5.7851,7.349,0,5.7851,4.2433,1.2492,4.0642,0.7538,1.7228,1,0,0.0025,12.6134,76.22,0.125,3.3466,0,-8.5254,1,1.2414,0,0.875,0.1039,0.6223,3,0,2.1143,17.7192,0.25,"NoChanger"
0,-0.0957,-0.2394,-0.077,0,0,0.349,2.9043,0,83342.7275,0.8244,0,0,4,-0.2955,0,3.6896,1.32,3.821,-0.0013,35.6989,19.1257,0,0.1282,0.0632,18,-40.5049,0.7893,1.6745,4.0012,1.3448,-123.9632,1.923,3.5671,3.7028,0,0.0066,-0.0672,83341.132,52.085,-2.2413,8.1421,0.8252,-2.5236,0.3387,0.5613,0.5949,1.2517,0.6541,-0.1305,0.6597,0,0,0,162.5543,0,0,0.9014,-0.0966,1.4231,1.1386,-45.2672,0.0369,0.8725,0,0,1.565,0,158.7899,5.2332,10.4136,11.85,1.2778,1.1285,0.9225,1.388,0.3946,0.1353,1.0381,4,0.4685,-4.4873,-14.8386,2,2,4,0.5693,0.7676,0.5303,90.6245,0.1106,-0.0352,2.092,-0.3119,0.2354,0,3.2592,0.0014,12.3791,1.2078,0.003,1.0488,0.2517,0.2257,-0.0514,0.1761,0.8634,-0.6369,12.9758,87.0329,0,0,0,0,0,0.7937,0.5439,0,3.0445,0,1.0113,0.9631,7.4722,-11.4423,0,0.2319,0.0801,0.06,0.022,0.0136,0.0431,0.0289,0.0127,0.0092,0,4,1.0096,0.0988,0,1.0826,10.9319,0,0,4.5111,310,2.1038,104.0204,0,-343.128,3.036,0,0,3,2,6,142.9336,1.3817,-0.0205,4,0,0,4.4813,4.3397,0,-78.4207,-31.576,-0.0843,4.9261,0,2,-0.6369,-0.0071,4e-04,-0.0728,5929.1609,0.35,0.5599,3.9583,4.8889,-22.4401,-3.9123,4.7318,4.0033,0.0529,4,3000259.867,14,0.5859,0.63,0,0,4.7181,1.0493,4.0055,1.1513,1.1755,0,0,0,12.8121,98.23,1.9153,3.3177,0,-120.7373,0,1.2455,0,1,0,0.5765,6,0,2.0821,23.1808,0,"NoChanger"
0,-0.2025,-0.3563,-0.0337,0,0,0,2.8914,0.0556,54062.0272,0.8744,0,0,4,0,2,3.716,1.2793,3.7677,5.6111,32.2745,10.9331,0,0.1865,0.2958,18,-27.968,3.3372,1.4807,3.8862,1.4665,-133.8556,0.182,3.7016,3.7368,4.2936,0.0071,-0.2029,21.6281,51.9278,-1.9246,7.8807,0.8469,0,0,0.5374,0.6485,1.4398,0.5957,0.0474,0.6757,0,0,0,152.4653,0,0,0.9684,-0.2724,1.0456,0.9758,-26.4366,-2.0595,0,0,5.9209,1.7724,0,155.4263,5.466,10.2871,11.89,1.5892,1.2496,1.1295,1.744,0.6801,-0.0486,0.7023,0,0.4667,7.2045,-1.857,10,0,0,0.5574,0.5963,0.5624,-39.0401,-0.2118,0.0158,1.9333,-0.31,0.2506,0,3.2492,1e-04,10.7918,1.3964,0.003,1.0545,0.1247,0.0775,0.0271,0.2019,0,-0.5004,12.1098,87.524,0,0,0,0,0,0.1,0.5636,0,3.0445,2,1.017,1.1098,-63.0441,0.3784,0,0.1689,0.0705,0.075,0.0201,0.0135,0.04,0.0267,0.0113,0.0068,0,0,0.9115,0.1351,0.0714,1.2852,0,0,0,5.8738,334,1.9475,111.3147,0,125.3319,3.618,0,0,2,10,7,144.523,0.9886,-0.1212,6,2,0,0,0,0,-358.6325,33.4122,-0.1524,5.1378,0.8165,4,-0.5004,0.0034,8e-04,-0.1387,6122.3087,0.245,0.4505,5.0972,4.4444,-8.9941,-1.5151,4.6847,3.9302,-0.1951,4,968.918,12,1.0367,1.1213,0,0,4.6834,0.9131,3.9698,1.1977,0.9378,2,0,1e-04,12.8972,109.77,0.7653,3.4118,0,-16.6389,0,1.0913,0,1,0,0.6966,8,0,2.0771,26.6907,0,"NoChanger"
0,0.046,-0.115,0.0639,0,0,0,2.9198,0,11.0791,0.8942,0,0,6,0,5,3.8274,1.4312,3.9183,1.5777,40.393,20.6942,0,0.2181,0.0475,16,-8.2996,7.3133,1.6639,3.9783,1.5147,-7.3451,3.357,3.69,3.7581,4.4361,0.0052,-0.063,16.6034,0,0,7.712,0.7915,-0.2401,0,0.7807,0.7384,1.3679,0.6311,0.191,0.6795,0,0,0,158.7662,0,0,1.0019,-0.1189,1.1802,1.1935,0.814,-1.9705,0,0,6.5167,1.8512,1,155.6804,6.5207,12.9437,11.85,1.1731,0.9949,1.132,2.552,1.0034,-0.1041,1.0209,6,0.4778,1.4797,-1.5884,6,0,3,0.8338,0.7476,0.7815,-4.852,0.336,-0.0891,2.0676,-0.2767,0.1829,0,3.3843,-2e-04,10.3881,1.1029,0.003,0.8975,0.0566,-0.0169,0.0121,-0.0108,0.6892,0.4841,12.9606,103.1936,0.0035,0,0,0,0,0.1667,0.6333,0,3.0445,2,1.1113,1.2018,-7.9747,37.0933,0,0.2323,0.0588,0.042,0.0151,0.0106,0.0362,0.0217,0.0069,0.0059,0,0,0.9128,0.0268,2.0502,1.1205,0,0,0,8.5692,732,2.1309,102.0478,0,-98.1564,4.178,0,1,0,9,6,161.1013,1.1467,0.0584,6,1,0,0,0,0,150.8196,-55.9965,-0.1247,4.7336,3.0466,5,0,0.0011,-0.0012,-0.1339,6122.8654,0.3178,0.3996,3.1111,4,-0.0476,0.8565,4.2182,4.0727,-0.3044,6,732.1563,17,1.8415,2.2557,0,0,4.0815,0.9821,4.0539,1.0688,1.0954,3,0,0.0015,0,82.5,0,3.6153,1,-9.5702,3,1.4093,0,1,0.1521,0.7822,7,0,2.1374,26.2516,0,"NoChanger"
0,-0.0255,0.1221,-0.0653,0,0,0,2.8246,0,15.4538,0.8655,0,0.0349,5,0.5798,1,3.7746,1.266,3.7728,1.6836,32.6743,24.1398,0,0.0825,-0.0768,19,-48.4361,4.4625,1.7414,3.9147,1.35,-7.4389,1.1,3.5474,3.6436,4.8738,0.0058,-0.1417,12.2917,25.8706,-0.2891,7.5891,0.8076,-0.3193,0,0.5262,0.6833,1.4659,0.6983,-0.1443,0.6571,0,0,1,156.2895,1,0,1.078,-0.0152,1.0891,0.9339,5.7116,-4.0397,0.593,0,5.6573,1.804,1,159.2681,4.931,11.2623,11.85,0.9921,0.9459,1.0168,2.707,1.4079,-0.0993,0.8609,2,0.4867,7.4926,10.7639,5,0,2,0.5572,0.8527,0.8392,45.2658,-0.0238,-0.027,1.933,-0.3036,0.2942,1,3.3404,0.0015,14.7224,1.4938,0.003,1.2234,-0.0082,-0.1257,-0.0585,-0.0837,1.1799,-0.3239,16.6881,93.9387,0.0047,0,0,0,0,0.3333,0.55,0,2.3979,1,1.4145,1.11,30.2954,-2.7149,0,0.1529,0.0663,0.0438,0.0166,0.0114,0.0356,0.0255,0.0101,0.0067,0,2,0.8794,0.0391,0,0.8339,0,0,0,3.9138,257,2.0357,107.4855,0,202.8868,4.016,0,0,2,5,5,148.9398,1.171,-0.1246,3,5,0,0,0,0,-735.5297,12.5869,0.0462,5.7226,0.4714,3,-0.3239,-0.0045,8e-04,0.124,6449.1327,0.2284,0.3848,2.5417,3.7778,-33.5249,-3.1827,4.7418,4.0367,-0.1409,4,493.4006,12,-1.1871,5.3057,0,0,4.7169,0.7279,3.9474,1.0854,0.7651,2,0,0.0025,12.574,90.98,0.1429,3.4443,0,-4.7463,0,1.1314,0,0.9,0.1194,0.5613,6,0,2.0987,21.5476,0,"NoChanger"
